Numero de documentos del corpus: 20000
Numero de palabras del corpus: 155735
Palabra: acrylicweight Frec: 1 LogProb: -10.39662770624607
Palabra: act Frec: 10 LogProb: -8.691879614007645
Palabra: acting Frec: 3 LogProb: -9.703480525686125
Palabra: action Frec: 2 LogProb: -9.991162598137906
Palabra: actions Frec: 1 LogProb: -10.39662770624607
Palabra: activated Frec: 2 LogProb: -9.991162598137906
Palabra: activation Frec: 1 LogProb: -10.39662770624607
Palabra: active Frec: 69 LogProb: -6.841279644756656
Palabra: actively Frec: 4 LogProb: -9.480336974371916
Palabra: activewear Frec: 6 LogProb: -9.143864737750702
Palabra: activities Frec: 63 LogProb: -6.930891803446344
Palabra: activity Frec: 35 LogProb: -7.506255948349906
Palabra: actor Frec: 1 LogProb: -10.39662770624607
Palabra: acts Frec: 7 LogProb: -9.01033334512618
Palabra: actual Frec: 106 LogProb: -6.416946052344109
Palabra: actually Frec: 4 LogProb: -9.480336974371916
Palabra: ad Frec: 4 LogProb: -9.480336974371916
Palabra: ada Frec: 3 LogProb: -9.703480525686125
Palabra: adams Frec: 1 LogProb: -10.39662770624607
Palabra: adapt Frec: 4 LogProb: -9.480336974371916
Palabra: adaptable Frec: 1 LogProb: -10.39662770624607
Palabra: adapting Frec: 1 LogProb: -10.39662770624607
Palabra: adaptive Frec: 1 LogProb: -10.39662770624607
Palabra: adapts Frec: 2 LogProb: -9.991162598137906
Palabra: adbcuks Frec: 1 LogProb: -10.39662770624607
Palabra: adbucks Frec: 3 LogProb: -9.703480525686125
Palabra: add Frec: 164 LogProb: -5.983829412905434
Palabra: added Frec: 59 LogProb: -6.995430324583915
Palabra: addict Frec: 1 LogProb: -10.39662770624607
Palabra: addicted Frec: 1 LogProb: -10.39662770624607
Palabra: adding Frec: 33 LogProb: -7.563414362189854
Palabra: addition Frec: 99 LogProb: -6.484604700817924
Palabra: additiona Frec: 1 LogProb: -10.39662770624607
Palabra: additional Frec: 20 LogProb: -8.045252449082593
Palabra: additionally Frec: 4 LogProb: -9.480336974371916
Palabra: addon Frec: 4 LogProb: -9.480336974371916
Palabra: addressing Frec: 1 LogProb: -10.39662770624607
Palabra: adds Frec: 53 LogProb: -7.100790840241741
Palabra: addy Frec: 1 LogProb: -10.39662770624607
Palabra: adequate Frec: 2 LogProb: -9.991162598137906
Palabra: adequately Frec: 1 LogProb: -10.39662770624607
Palabra: adhere Frec: 2 LogProb: -9.991162598137906
Palabra: adhered Frec: 1 LogProb: -10.39662770624607
Palabra: adheres Frec: 2 LogProb: -9.991162598137906
Palabra: adhering Frec: 1 LogProb: -10.39662770624607
Palabra: adhesive Frec: 43 LogProb: -7.305585252887754
Palabra: adhesiveness Frec: 2 LogProb: -9.991162598137906
Palabra: adidas Frec: 4 LogProb: -9.480336974371916
Palabra: aditi Frec: 1 LogProb: -10.39662770624607
Palabra: adjust Frec: 25 LogProb: -7.831678348784533
Palabra: adjustability Frec: 1 LogProb: -10.39662770624607
Palabra: adjustable Frec: 145 LogProb: -6.106168265097679
Palabra: adjusted Frec: 18 LogProb: -8.145335907639575
Palabra: adjuster Frec: 2 LogProb: -9.991162598137906
Palabra: adjusters Frec: 1 LogProb: -10.39662770624607
Palabra: adjusting Frec: 11 LogProb: -8.604868237018016
Palabra: adjustlable Frec: 1 LogProb: -10.39662770624607
Palabra: adjustment Frec: 2 LogProb: -9.991162598137906
Palabra: adjusts Frec: 1 LogProb: -10.39662770624607
Palabra: admirable Frec: 2 LogProb: -9.991162598137906
Palabra: admist Frec: 1 LogProb: -10.39662770624607
Palabra: adofo Frec: 1 LogProb: -10.39662770624607
Palabra: adonis Frec: 1 LogProb: -10.39662770624607
Palabra: adopts Frec: 1 LogProb: -10.39662770624607
Palabra: adorable Frec: 40 LogProb: -7.376202820101708
Palabra: adorably Frec: 1 LogProb: -10.39662770624607
Palabra: adore Frec: 4 LogProb: -9.480336974371916
Palabra: adoreva Frec: 1 LogProb: -10.39662770624607
Palabra: adoring Frec: 1 LogProb: -10.39662770624607
Palabra: adorn Frec: 15 LogProb: -8.317186164566234
Palabra: adorna Frec: 4 LogProb: -9.480336974371916
Palabra: adorned Frec: 9 LogProb: -8.78718979381197
Palabra: adorning Frec: 2 LogProb: -9.991162598137906
Palabra: adorns Frec: 1 LogProb: -10.39662770624607
Palabra: adriana Frec: 1 LogProb: -10.39662770624607
Palabra: adro Frec: 4 LogProb: -9.480336974371916
Palabra: adsorption Frec: 1 LogProb: -10.39662770624607
Palabra: adult Frec: 25 LogProb: -7.831678348784533
Palabra: adults Frec: 14 LogProb: -8.381724685703805
Palabra: advance Frec: 6 LogProb: -9.143864737750702
Palabra: advanced Frec: 29 LogProb: -7.6885775051438605
Palabra: advantage Frec: 6 LogProb: -9.143864737750702
Palabra: advantages Frec: 2 LogProb: -9.991162598137906
Palabra: advent Frec: 4 LogProb: -9.480336974371916
Palabra: adventure Frec: 10 LogProb: -8.691879614007645
Palabra: adventures Frec: 11 LogProb: -8.604868237018016
Palabra: adventurous Frec: 1 LogProb: -10.39662770624607
Palabra: advertise Frec: 3 LogProb: -9.703480525686125
Palabra: advisable Frec: 2 LogProb: -9.991162598137906
Palabra: adyk Frec: 2 LogProb: -9.991162598137906
Palabra: aec Frec: 1 LogProb: -10.39662770624607
Palabra: aegend Frec: 1 LogProb: -10.39662770624607
Palabra: aegis Frec: 2 LogProb: -9.991162598137906
Palabra: aelicia Frec: 1 LogProb: -10.39662770624607
Palabra: aelo Frec: 2 LogProb: -9.991162598137906
Palabra: aeoss Frec: 1 LogProb: -10.39662770624607
Palabra: aerobics Frec: 11 LogProb: -8.604868237018016
Palabra: aerofit Frec: 1 LogProb: -10.39662770624607
Palabra: aesthetic Frec: 4 LogProb: -9.480336974371916
Palabra: aesthetically Frec: 3 LogProb: -9.703480525686125
Palabra: aesthetics Frec: 14 LogProb: -8.381724685703805
Palabra: af Frec: 2 LogProb: -9.991162598137906
Palabra: affair Frec: 9 LogProb: -8.78718979381197
Palabra: affect Frec: 8 LogProb: -8.892550309469796
Palabra: affected Frec: 4 LogProb: -9.480336974371916
Palabra: affection Frec: 2 LogProb: -9.991162598137906
Palabra: affects Frec: 1 LogProb: -10.39662770624607
Palabra: affeta Frec: 1 LogProb: -10.39662770624607
Palabra: afforadable Frec: 1 LogProb: -10.39662770624607
Palabra: afford Frec: 1 LogProb: -10.39662770624607
Palabra: affordability Frec: 19 LogProb: -8.094042613252025
Palabra: affordable Frec: 55 LogProb: -7.064423196070866
Palabra: affordably Frec: 1 LogProb: -10.39662770624607
Palabra: affords Frec: 1 LogProb: -10.39662770624607
Palabra: aficionados Frec: 3 LogProb: -9.703480525686125
Palabra: afloat Frec: 1 LogProb: -10.39662770624607
Palabra: africa Frec: 2 LogProb: -9.991162598137906
Palabra: afternoon Frec: 2 LogProb: -9.991162598137906
Palabra: afternoons Frec: 1 LogProb: -10.39662770624607
Palabra: aftersales Frec: 1 LogProb: -10.39662770624607
Palabra: afterwords Frec: 1 LogProb: -10.39662770624607
Palabra: afut Frec: 1 LogProb: -10.39662770624607
Palabra: age Frec: 71 LogProb: -6.81310876778996
Palabra: aged Frec: 2 LogProb: -9.991162598137906
Palabra: ageless Frec: 5 LogProb: -9.298015417577961
Palabra: agent Frec: 1 LogProb: -10.39662770624607
Palabra: agents Frec: 1 LogProb: -10.39662770624607
Palabra: ages Frec: 24 LogProb: -7.8708990619378145
Palabra: aggressive Frec: 1 LogProb: -10.39662770624607
Palabra: aging Frec: 1 LogProb: -10.39662770624607
Palabra: agree Frec: 1 LogProb: -10.39662770624607
Palabra: agreeable Frec: 3 LogProb: -9.703480525686125
Palabra: agreeing Frec: 1 LogProb: -10.39662770624607
Palabra: agreement Frec: 1 LogProb: -10.39662770624607
Palabra: agrégation Frec: 1 LogProb: -10.39662770624607
Palabra: agspl Frec: 1 LogProb: -10.39662770624607
Palabra: ahead Frec: 34 LogProb: -7.534426825316602
Palabra: ahhaaaa Frec: 9 LogProb: -8.78718979381197
Palabra: ai Frec: 1 LogProb: -10.39662770624607
Palabra: aid Frec: 3 LogProb: -9.703480525686125
Palabra: aidixiong Frec: 1 LogProb: -10.39662770624607
Palabra: aids Frec: 1 LogProb: -10.39662770624607
Palabra: ailment Frec: 3 LogProb: -9.703480525686125
Palabra: ailments Frec: 1 LogProb: -10.39662770624607
Palabra: aim Frec: 2 LogProb: -9.991162598137906
Palabra: aimed Frec: 11 LogProb: -8.604868237018016
Palabra: aiming Frec: 1 LogProb: -10.39662770624607
