Numero de documentos del corpus: 20000
Numero de palabras del corpus: 393195
Palabra: accezory Frec: 4 LogProb: -9.659873400881409
Palabra: accident Frec: 4 LogProb: -9.659873400881409
Palabra: accidental Frec: 13 LogProb: -8.630253983700252
Palabra: accidentally Frec: 10 LogProb: -8.87141604051714
Palabra: accidently Frec: 2 LogProb: -10.170699024647401
Palabra: accidents Frec: 20 LogProb: -8.224788875592088
Palabra: acclaimed Frec: 2 LogProb: -10.170699024647401
Palabra: accommodate Frec: 37 LogProb: -7.631725153589125
Palabra: accommodated Frec: 5 LogProb: -9.477551844087456
Palabra: accommodates Frec: 15 LogProb: -8.496722591075729
Palabra: accommodation Frec: 2 LogProb: -10.170699024647401
Palabra: accomodating Frec: 4 LogProb: -9.659873400881409
Palabra: accompanied Frec: 2 LogProb: -10.170699024647401
Palabra: accompaniment Frec: 4 LogProb: -9.659873400881409
Palabra: accompaniments Frec: 1 LogProb: -10.576164132755565
Palabra: accompany Frec: 8 LogProb: -9.07208673597929
Palabra: accomplices Frec: 1 LogProb: -10.576164132755565
Palabra: accomplish Frec: 1 LogProb: -10.576164132755565
Palabra: accomplishing Frec: 1 LogProb: -10.576164132755565
Palabra: accord Frec: 8 LogProb: -9.07208673597929
Palabra: accordance Frec: 9 LogProb: -8.966726220321465
Palabra: according Frec: 97 LogProb: -6.684343834644938
Palabra: accordingly Frec: 3 LogProb: -9.88301695219562
Palabra: accordion Frec: 3 LogProb: -9.88301695219562
Palabra: account Frec: 8 LogProb: -9.07208673597929
Palabra: accounting Frec: 1 LogProb: -10.576164132755565
Palabra: accounts Frec: 2 LogProb: -10.170699024647401
Palabra: accredited Frec: 1 LogProb: -10.576164132755565
Palabra: accross Frec: 1 LogProb: -10.576164132755565
Palabra: accu Frec: 2 LogProb: -10.170699024647401
Palabra: accumulate Frec: 8 LogProb: -9.07208673597929
Palabra: accumulated Frec: 7 LogProb: -9.189869771635674
Palabra: accumulates Frec: 3 LogProb: -9.88301695219562
Palabra: accumulating Frec: 1 LogProb: -10.576164132755565
Palabra: accumulation Frec: 2 LogProb: -10.170699024647401
Palabra: accumulations Frec: 1 LogProb: -10.576164132755565
Palabra: accupressure Frec: 1 LogProb: -10.576164132755565
Palabra: accuracy Frec: 51 LogProb: -7.3180675947340825
Palabra: accurate Frec: 41 LogProb: -7.531641695032142
Palabra: accurately Frec: 11 LogProb: -8.78440466352751
Palabra: accustomed Frec: 2 LogProb: -10.170699024647401
Palabra: ace Frec: 15 LogProb: -8.496722591075729
Palabra: acessories Frec: 1 LogProb: -10.576164132755565
Palabra: acetate Frec: 4 LogProb: -9.659873400881409
Palabra: acetylene Frec: 2 LogProb: -10.170699024647401
Palabra: acgc Frec: 1 LogProb: -10.576164132755565
Palabra: acheive Frec: 2 LogProb: -10.170699024647401
Palabra: aches Frec: 4 LogProb: -9.659873400881409
Palabra: achieve Frec: 34 LogProb: -7.7139632518260965
Palabra: achieved Frec: 8 LogProb: -9.07208673597929
Palabra: achievement Frec: 5 LogProb: -9.477551844087456
Palabra: achieves Frec: 2 LogProb: -10.170699024647401
Palabra: achieving Frec: 4 LogProb: -9.659873400881409
Palabra: aching Frec: 7 LogProb: -9.189869771635674
Palabra: achive Frec: 1 LogProb: -10.576164132755565
Palabra: acid Frec: 24 LogProb: -8.05043548844731
