Numero de documentos del corpus: 3889
Numero de palabras del corpus: 331483
Palabra: aa Frec: 71 LogProb: -6.907713611447391
Palabra: aaa Frec: 41 LogProb: -7.446710112180078
Palabra: aaabattery Frec: 1 LogProb: -10.4912325499035
Palabra: aaar Frec: 0 LogProb: -11.184379730463446
Palabra: aaas Frec: 0 LogProb: -11.184379730463446
Palabra: aac Frec: 31 LogProb: -7.718643827663719
Palabra: aachen Frec: 0 LogProb: -11.184379730463446
Palabra: aadhaar Frec: 4 LogProb: -9.574941818029346
Palabra: aadhar Frec: 1 LogProb: -10.4912325499035
Palabra: aadhunik Frec: 0 LogProb: -11.184379730463446
Palabra: aadhya Frec: 0 LogProb: -11.184379730463446
Palabra: aadi Frec: 0 LogProb: -11.184379730463446
Palabra: aadmi Frec: 0 LogProb: -11.184379730463446
Palabra: aadmora Frec: 0 LogProb: -11.184379730463446
Palabra: aadvay Frec: 0 LogProb: -11.184379730463446
Palabra: aai Frec: 0 LogProb: -11.184379730463446
Palabra: aaiffel Frec: 0 LogProb: -11.184379730463446
Palabra: aaj Frec: 0 LogProb: -11.184379730463446
Palabra: aakash Frec: 0 LogProb: -11.184379730463446
Palabra: aakrithi Frec: 0 LogProb: -11.184379730463446
Palabra: aalim Frec: 0 LogProb: -11.184379730463446
Palabra: aam Frec: 0 LogProb: -11.184379730463446
Palabra: aamazing Frec: 0 LogProb: -11.184379730463446
Palabra: aamchur Frec: 0 LogProb: -11.184379730463446
Palabra: aameria Frec: 0 LogProb: -11.184379730463446
Palabra: aamras Frec: 0 LogProb: -11.184379730463446
Palabra: aandhi Frec: 0 LogProb: -11.184379730463446
Palabra: aandwiches Frec: 0 LogProb: -11.184379730463446
Palabra: aania Frec: 0 LogProb: -11.184379730463446
Palabra: aanya Frec: 0 LogProb: -11.184379730463446
Palabra: aanyacentric Frec: 0 LogProb: -11.184379730463446
Palabra: aao Frec: 0 LogProb: -11.184379730463446
Palabra: aar Frec: 0 LogProb: -11.184379730463446
Palabra: aaram Frec: 0 LogProb: -11.184379730463446
Palabra: aarav Frec: 0 LogProb: -11.184379730463446
Palabra: aarbee Frec: 0 LogProb: -11.184379730463446
Palabra: aarfa Frec: 0 LogProb: -11.184379730463446
Palabra: aari Frec: 0 LogProb: -11.184379730463446
Palabra: aarika Frec: 0 LogProb: -11.184379730463446
Palabra: aarka Frec: 0 LogProb: -11.184379730463446
Palabra: aaron Frec: 0 LogProb: -11.184379730463446
Palabra: aaronovitch Frec: 0 LogProb: -11.184379730463446
Palabra: aarsun Frec: 0 LogProb: -11.184379730463446
Palabra: aart Frec: 0 LogProb: -11.184379730463446
Palabra: aarti Frec: 0 LogProb: -11.184379730463446
Palabra: aas Frec: 0 LogProb: -11.184379730463446
Palabra: aasa Frec: 0 LogProb: -11.184379730463446
Palabra: aashi Frec: 0 LogProb: -11.184379730463446
Palabra: aashiqui Frec: 0 LogProb: -11.184379730463446
Palabra: aashirya Frec: 0 LogProb: -11.184379730463446
Palabra: aashto Frec: 0 LogProb: -11.184379730463446
Palabra: aassembly Frec: 1 LogProb: -10.4912325499035
Palabra: aata Frec: 0 LogProb: -11.184379730463446
Palabra: aatachable Frec: 0 LogProb: -11.184379730463446
Palabra: aati Frec: 0 LogProb: -11.184379730463446
Palabra: aattractive Frec: 0 LogProb: -11.184379730463446
Palabra: aatu Frec: 0 LogProb: -11.184379730463446
Palabra: aaux Frec: 1 LogProb: -10.4912325499035
Palabra: aavishkar Frec: 0 LogProb: -11.184379730463446
Palabra: aavjo Frec: 1 LogProb: -10.4912325499035
Palabra: aayog Frec: 2 LogProb: -10.085767441795337
Palabra: aazeem Frec: 0 LogProb: -11.184379730463446
Palabra: ab Frec: 15 LogProb: -8.411791008223664
Palabra: aba Frec: 0 LogProb: -11.184379730463446
Palabra: ababa Frec: 0 LogProb: -11.184379730463446
Palabra: abacus Frec: 0 LogProb: -11.184379730463446
Palabra: abandon Frec: 1 LogProb: -10.4912325499035
Palabra: abandoned Frec: 0 LogProb: -11.184379730463446
Palabra: abandoning Frec: 0 LogProb: -11.184379730463446
Palabra: abandons Frec: 0 LogProb: -11.184379730463446
Palabra: abap Frec: 0 LogProb: -11.184379730463446
Palabra: abarata Frec: 0 LogProb: -11.184379730463446
Palabra: abaya Frec: 0 LogProb: -11.184379730463446
Palabra: abayas Frec: 0 LogProb: -11.184379730463446
Palabra: abb Frec: 2 LogProb: -10.085767441795337
Palabra: abba Frec: 0 LogProb: -11.184379730463446
Palabra: abbasi Frec: 0 LogProb: -11.184379730463446
Palabra: abbasid Frec: 0 LogProb: -11.184379730463446
Palabra: abbe Frec: 1 LogProb: -10.4912325499035
Palabra: abbey Frec: 0 LogProb: -11.184379730463446
Palabra: abbott Frec: 0 LogProb: -11.184379730463446
Palabra: abbreviation Frec: 0 LogProb: -11.184379730463446
Palabra: abbreviations Frec: 0 LogProb: -11.184379730463446
Palabra: abby Frec: 0 LogProb: -11.184379730463446
Palabra: abbyhus Frec: 0 LogProb: -11.184379730463446
Palabra: abc Frec: 3 LogProb: -9.798085369343555
Palabra: abcnews Frec: 0 LogProb: -11.184379730463446
Palabra: abcs Frec: 0 LogProb: -11.184379730463446
Palabra: abd Frec: 1 LogProb: -10.4912325499035
Palabra: abdomen Frec: 0 LogProb: -11.184379730463446
Palabra: abdominal Frec: 0 LogProb: -11.184379730463446
Palabra: abdomino Frec: 0 LogProb: -11.184379730463446
Palabra: abdool Frec: 0 LogProb: -11.184379730463446
Palabra: abdul Frec: 1 LogProb: -10.4912325499035
Palabra: abe Frec: 0 LogProb: -11.184379730463446
Palabra: abec Frec: 0 LogProb: -11.184379730463446
Palabra: abee Frec: 0 LogProb: -11.184379730463446
Palabra: abel Frec: 0 LogProb: -11.184379730463446
Palabra: aberdeen Frec: 0 LogProb: -11.184379730463446
Palabra: aberrant Frec: 0 LogProb: -11.184379730463446
Palabra: aberration Frec: 6 LogProb: -9.238469581408133
Palabra: aberrations Frec: 4 LogProb: -9.574941818029346
